Order Date,Sales_Value,Trend_Line,Sales_Growth_%,Is_Forecast,Forecast_Upper,Forecast_Lower
2015-01-01,19546.163,12647.067000000001,0.0,Actual,,
2015-02-01,11678.994,12647.067000000001,-40.24917320089882,Actual,,
2015-03-01,6716.044,12647.067000000001,-42.49467034575068,Actual,,
2015-04-01,12455.482,10283.506666666666,85.45861224256424,Actual,,
2015-05-01,15165.051,11445.525666666666,21.754027664284692,Actual,,
2015-06-01,11884.169,13168.233999999999,-21.63449367892004,Actual,,
2015-07-01,10075.74,12374.986666666666,-15.217126245848577,Actual,,
2015-08-01,26797.763,16252.557333333332,165.96322453735408,Actual,,
2015-09-01,17158.932,18010.811666666665,-35.968789633672024,Actual,,
2015-10-01,10112.641,18023.111999999997,-41.0648576496486,Actual,,
2015-11-01,18349.764,15207.112333333333,81.4537270728784,Actual,,
2015-12-01,17045.8427,15169.4159,-7.105929536750432,Actual,,
2016-01-01,17701.6864,17699.097700000002,3.8475287584344375,Actual,,
2016-02-01,13018.315,15921.948033333334,-26.457204664974732,Actual,,
2016-03-01,12207.4066,14309.135999999999,-6.228981246804988,Actual,,
2016-04-01,11963.696,12396.472533333334,-1.996415848063915,Actual,,
2016-05-01,10483.482,11551.5282,-12.3725477477863,Actual,,
2016-06-01,13026.6682,11824.6154,24.258983799466627,Actual,,
2016-07-01,9991.52,11167.2234,-23.29949725747985,Actual,,
2016-08-01,18377.677,13798.621733333333,83.93274496773262,Actual,,
2016-09-01,16484.901,14951.366,-10.299321290715891,Actual,,
2016-10-01,12293.038,15718.538666666665,-25.428499691930217,Actual,,
2016-11-01,12139.0395,13638.992833333336,-1.252729390407803,Actual,,
2016-12-01,9761.333,11397.8035,-19.58727047555946,Actual,,
2017-01-01,26342.541,16080.971166666668,169.86622626233526,Actual,,
2017-02-01,42967.915,26357.263000000003,63.11226392321074,Actual,,
2017-03-01,25982.287,31764.247666666666,-39.5309569943061,Actual,,
2017-04-01,19472.164,29474.122,-25.05600450029668,Actual,,
2017-05-01,22649.3888,22701.279933333335,16.31675246777913,Actual,,
2017-06-01,12755.393,18292.31526666667,-43.68327943577886,Actual,,
2017-07-01,16501.007,17301.9296,29.36494391039148,Actual,,
2017-08-01,24156.3226,17804.240866666667,46.39302074109779,Actual,,
2017-09-01,9789.662,16815.663866666666,-59.47370731006879,Actual,,
2017-10-01,22599.782,18848.58886666667,130.8535473441269,Actual,,
2017-11-01,20378.24,17589.228,-9.829926678053791,Actual,,
2017-12-01,21365.1485,21447.723499999996,4.842952580792059,Actual,,
2018-01-01,27367.592,23036.9935,28.094555486005635,Actual,,
2018-02-01,36285.936,28339.558833333333,32.58724406590101,Actual,,
2018-03-01,26882.953,30178.827,-25.913574339104827,Actual,,
2018-04-01,21203.607,28124.165333333334,-21.126198449999155,Actual,,
2018-05-01,15774.127,21286.895666666667,-25.606398005773258,Actual,,
2018-06-01,12138.1558,16371.963266666668,-23.050221416373784,Actual,,
2018-07-01,25110.4795,17674.254100000002,106.87227873611573,Actual,,
2018-08-01,26823.69,21357.441766666667,6.822691299064987,Actual,,
2018-09-01,23148.87,25027.67983333333,-13.699904822938237,Actual,,
2018-10-01,17558.322,22510.293999999998,-24.150414253481912,Actual,,
2018-11-01,17407.27,19371.487333333334,-0.8602872187900346,Actual,,
2018-12-01,16647.042,17204.211333333336,-4.367301707849647,Actual,,
2019-01-31,29361.036137366387,23288.33415744681,0.0,Forecast,32297.13975110303,26424.932523629748
2019-02-28,33864.079304341656,23395.51816933348,0.9204953103302715,Forecast,37250.48723477583,30477.67137390749
2019-03-31,23599.848026139505,23502.702181220153,0.912099477415107,Forecast,25959.832828753457,21239.863223525554
2019-04-30,21592.7633858796,23717.070204993488,0.9038554168811386,Forecast,23752.039724467562,19433.48704729164
2019-05-31,21443.835058001005,23931.438228766827,0.8957590501838641,Forecast,23588.218563801107,19299.451552200906
2019-06-30,16816.674435341167,24145.806252540166,0.8878064436170341,Forecast,18498.341878875286,15135.006991807051
2019-07-31,21009.37398359963,24360.1742763135,0.8799938019399933,Forecast,23110.311381959596,18908.43658523967
2019-08-31,33038.740886824125,24574.542300086847,0.8723174623381791,Forecast,36342.61497550654,29734.866798141713
2019-09-30,23075.35058384461,24788.910323860182,0.8647738886973455,Forecast,25382.885642229074,20767.81552546015
2019-10-31,21868.534815808096,25003.27834763352,0.8573596661720417,Forecast,24055.38829738891,19681.681334227287
2019-11-30,24067.458844256988,25217.646371406863,0.8500714960314681,Forecast,26474.20472868269,21660.71295983129
2019-12-31,23042.151575657637,25432.0143951802,0.8429061907654578,Forecast,25346.366733223404,20737.936418091875
