Product Name,Category,Sub-Category,Total_Sales,Trend_Slope,Avg_Monthly_Sales,Trend_Label,Category_Rank
Enermax Aurora Lite Keyboard,Technology,Accessories,1641.15,-31.26,328.23,Declining,84
Global Deluxe High-Back Manager's Chair,Furniture,Chairs,5948.384,-772.1459999999997,1982.7946666666667,Declining,136
Recycled Steel Personal File for Hanging File Folders,Office Supplies,Storage,766.882,56.08539999999999,191.7205,Growing,18
"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Office Supplies,Paper,52.416000000000004,0.0,17.472,Declining,176
Fellowes Bankers Box Recycled Super Stor/Drawer,Office Supplies,Storage,593.78,-1.079599999999999,148.445,Declining,200
DAX Black Cherry Wood-Tone Poster Frame,Furniture,Furnishings,227.72799999999998,-11.121599999999997,56.931999999999995,Declining,91
Harbour Creations Steel Folding Chair,Furniture,Chairs,1190.25,-27.6,238.05,Declining,104
Rogers Profile Extra Capacity Storage Tub,Office Supplies,Storage,334.8,-10.044,83.7,Declining,286
Zipper Ring Binder Pockets,Office Supplies,Binders,45.239999999999995,-0.9248571428571426,6.462857142857142,Declining,196
Acco 6 Outlet Guardian Premium Surge Suppressor,Office Supplies,Appliances,353.808,-1.1231999999999993,58.967999999999996,Declining,201
Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Office Supplies,Art,780.8399999999999,-35.667999999999985,195.20999999999998,Declining,324
3M Hangers With Command Adhesive,Furniture,Furnishings,39.96,-3.6999999999999975,13.32,Declining,76
Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,Office Supplies,Binders,263.264,-34.63999999999999,87.75466666666667,Declining,322
Xerox 205,Office Supplies,Paper,98.49600000000001,-2.5920000000000014,32.832,Declining,228
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper,127.68,-3.9900000000000007,42.56,Declining,246
Avery Durable Binders,Office Supplies,Binders,13.823999999999998,-1.152,4.608,Declining,202
Wilson SignalBoost 841262 DB PRO Amplifier Kit,Technology,Phones,2807.61,-71.99000000000001,935.87,Declining,93
Cardinal Holdit Business Card Pockets,Office Supplies,Binders,43.824,-3.9839999999999987,14.607999999999999,Declining,245
Xerox 1916,Office Supplies,Paper,254.488,-6.2803698347351e-16,84.82933333333334,Declining,177
"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",Office Supplies,Fasteners,30.529999999999998,4.259999999999999,10.176666666666666,Growing,102
Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,68.714,1.3157999999999994,17.1785,Growing,149
9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,317.17,2.2064000000000004,63.434000000000005,Growing,61
Prestige Round Ring Binders,Office Supplies,Binders,36.480000000000004,7.295999999999998,12.160000000000002,Growing,78
WD My Passport Ultra 2TB Portable External Hard Drive,Technology,Accessories,1190.0,118.99999999999997,396.6666666666667,Growing,7
